pref	m13	m14	m15	w13	w14	w15
北海道	92.1	94.9	95.5	87.4	90.2	92.7
青森県	132.1	126.5	135.0	118.6	119.5	117.9
岩手県	122.9	127.5	136.2	118.1	116.8	116.8
宮城県	115.3	111.7	112.7	111.5	114.0	114.1
秋田県	125.2	126.5	123.6	117.6	121.0	120.5
山形県	118.1	119.3	114.3	122.2	111.0	118.7
福島県	116.2	109.7	115.6	118.7	109.7	123.2
茨城県	118.3	124.2	121.8	117.3	116.8	115.5
栃木県	128.9	127.1	131.0	124.2	130.8	127.1
群馬県	100.8	110.1	105.0	111.2	107.3	106.6
埼玉県	103.6	107.0	103.2	111.2	107.6	107.9
千葉県	98.4	100.4	101.8	100.1	105.5	103.9
東京都	95.8	95.2	92.1	99.2	98.8	100.8
神奈川県	97.0	95.7	96.2	102.8	102.7	102.3
新潟県	113.3	115.0	118.2	113.3	115.0	109.2
富山県	97.8	94.8	106.2	89.6	93.1	103.8
石川県	98.1	93.2	99.4	95.6	97.8	100.8
福井県	88.4	86.8	95.4	82.9	82.9	93.7
山梨県	91.7	94.2	90.2	89.7	94.5	94.3
長野県	117.9	118.0	112.8	125.6	122.6	119.4
岐阜県	98.0	100.4	95.4	97.5	99.6	100.9
静岡県	110.1	105.4	108.4	101.7	107.9	103.1
愛知県	100.9	98.5	95.5	102.1	102.1	100.0
三重県	100.5	100.6	101.0	101.9	99.2	105.6
滋賀県	90.5	91.1	85.3	89.4	93.4	90.0
京都府	85.1	89.5	92.2	91.8	89.1	92.1
大阪府	87.4	88.5	88.3	87.7	87.3	88.0
兵庫県	88.7	86.9	87.9	86.7	91.8	88.1
奈良県	80.8	82.4	84.6	89.0	83.8	89.4
和歌山県	82.8	86.4	88.2	99.6	86.5	88.1
鳥取県	122.4	103.6	106.1	97.8	93.2	103.9
島根県	96.2	95.4	95.1	84.4	92.2	86.5
岡山県	105.9	101.7	98.7	96.3	88.1	91.3
広島県	86.2	91.7	94.9	91.8	88.1	89.5
山口県	108.7	101.4	101.1	100.9	103.2	101.0
徳島県	106.0	94.6	103.8	96.4	95.2	98.3
香川県	86.2	88.5	82.2	93.9	96.8	80.9
愛媛県	97.8	96.2	93.6	103.0	97.6	97.6
高知県	105.5	108.6	120.0	108.4	111.8	107.2
福岡県	89.9	89.9	86.5	91.2	91.1	85.7
佐賀県	92.9	93.9	102.1	94.1	97.3	95.7
長崎県	97.3	101.0	92.0	91.8	94.5	92.3
熊本県	88.8	90.8	92.6	82.9	87.4	87.6
大分県	94.5	99.7	91.6	107.0	94.1	94.0
宮崎県	104.9	97.8	104.2	102.3	94.7	97.3
鹿児島県	115.6	106.1	105.7	107.1	111.2	108.2
沖縄県	69.6	78.8	78.1	66.5	60.8	65.5
